timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-12-22 12:15:06+00:00,"b'Yuk Order Produknya, Hanya di Shopee, Lagi ada PROMO Loh! #Shopee #shopeehaul #viral #TrendingNow  https://t.co/dJn2g4BhdQ https://t.co/qQBZ7gDhzo'",b'MIFTAH63468028',"['Shopee', 'shopeehaul', 'viral', 'TrendingNow']",,1632,0,0
2022-12-22 12:15:05+00:00,b'Wkwkwkw shopee error',b'idamrepml',[],,373,0,0
2022-12-22 12:15:00+00:00,b'Shopee emg lg error ya?',b'karteaka',[],Bandung,387,0,0
2022-12-22 12:14:54+00:00,b'@kegblgnunfaedh Ekspresi mukanya udh mencerminkan bgt \xf0\x9f\x98\xad  1. https://t.co/8HDQbjbH04 2. https://t.co/IEynlPIHNZ 3. https://t.co/0fvPXQxMzR 4. https://t.co/lQ34s5Gbn0 https://t.co/US7a1ctoWx',b'xpeonys',[],about me 🔽,305,0,1
2022-12-22 12:14:48+00:00,b'@Preciouspluto ver 2 aku ada mentok 700 lgsg lirim dpt pc fullset blm prnh aku pake\xf0\x9f\x96\xa4 bs shopee',b'_jennielovesu_',[],,0,0,0
2022-12-22 12:14:48+00:00,b'@ShopeeID @Shopee_id Pilih yg B  #RedmiA1dariShopee',b'miimie312',['RedmiA1dariShopee'],,2,0,0
2022-12-22 12:14:37+00:00,b'@ShopeeID @ronal_ys #shopee gak sadar kah aplikasi nya sedang down? Gimana mau bersihkan cache klo baru buka udah balik ke halaman utama terus?Sudah di update pun tetap begitu.',b'Elsa_Edelweis',['shopee'],Depok,93,0,0
2022-12-22 12:14:33+00:00,b'@ shopee jgn error skrg pls :/',b'beIarie',[],u wont found me,10,0,0
2022-12-22 12:14:32+00:00,b'@ShopeeID @Shopee_id Pingin punya mobil. Amiin  #NewYear2023OPPOdiShopee #OPPOChooseJoy',b'uaLuwaktu',"['NewYear2023OPPOdiShopee', 'OPPOChooseJoy']",,475,0,0
2022-12-22 12:14:25+00:00,b'ada yang masih buka ponya gak ya buat guest exo ver. :( prefer bisa co shopee https://t.co/JvAGhOZhdx',b'woshifengxi',[],,20,0,0
2022-12-22 12:14:22+00:00,b'@hermawan_devina Baru tau ternyata di Italy ada nasi goreng juga\xf0\x9f\x98\xad  Daily hijab nyaman Kunjungi toko saya di Shopee! viluff_fashionstore: https://t.co/wQUIsPbSgE https://t.co/pdgpBBlTUK',b'desvidedes',[],Indonesia,28,0,0
2022-12-22 12:14:20+00:00,"b'WTS WTSS LIGHSTICK BLACKPINK VER 2, harga asli 790 aku jual 720 mentok 700 bisa shopee lgsg kirim yes ini masih fullset soalnya blm prnh aku pake pc pun dapet wts wts https://t.co/ZVAb7O5LPC'",b'_jennielovesu_',[],,0,0,0
2022-12-22 12:14:13+00:00,"b'@yourgalaxiey hai ka aku ready 13pcs masih sealed , 30k/each dom bekasi bisa shopee or cod ambil bnyk bs nego'",b'leeonaishere',[],,10,0,0
2022-12-22 12:14:11+00:00,b'Ini shopee mau eror sampai kapan si',b'anakketigaa_',[],"Kalimantan Selatan, Indonesia",72,0,0
2022-12-22 12:14:11+00:00,b'@sbtcon Gatau nder shopee skrg emng gitu',b'urijisungiie',[],tangerang,455,0,0
2022-12-22 12:14:09+00:00,b'@uleeisa KAK ISA SEREM BANGET. Ordernya bisa via shopee enggak?',b'rodcigo',[],2003  |  @GeffenRecords,215,0,0
2022-12-22 12:13:58+00:00,b'FUHH jumpa pulak pocket size APEMAN ni. murah lagi wehh. siap boleh jadi power bank lagi. Bawak pi camping ni nice gak kan?  https://t.co/TGoB9L3lBo https://t.co/l1UiQ3lIxQ',b'shopeecheckk',[],,32111,0,0
2022-12-22 12:13:57+00:00,"b'Haihh, racun betulll. Masuk beg pon tak terasa berat sebab punyala kecik, nipis, ringan pulak tu\xf0\x9f\x94\xa5\xe2\x9c\x8a  TAKE ALL MY MONEYYH\xf0\x9f\x92\xb8  https://t.co/AuzPdGQxZW https://t.co/iYng4zBb00'",b'shopeecheckk',[],,32111,0,0
2022-12-22 12:13:55+00:00,"b'Dahla cantik, ringan, ada 10 filter lagii! Siap boleh transfer photo ke phone terus wehhh. loveeeee!! \xf0\x9f\xa5\xba\xf0\x9f\xa4\x8d\xf0\x9f\x91\x8f  Wehhh, lagi murah kalau beli direct seller Japan!!! take my moneyyy\xf0\x9f\x98\x82\xf0\x9f\x92\xb8  https://t.co/hsypACVWki https://t.co/JfpNlNiARt'",b'shopeecheckk',[],,32111,0,0
2022-12-22 12:13:54+00:00,b'omgg malam ni ada SALE!!!!!! nakkkkk\xf0\x9f\x98\xad\xf0\x9f\x92\xb8  https://t.co/dcSnJUoIDD https://t.co/qmIHokPYqK',b'shopeecheckk',[],,32111,0,0
2022-12-22 12:13:11+00:00,b'@ohmybeautybank avoskin refining serum ngaruhh parahh sii jerawat langsung kempes dan lama2 ilang',b'aesth_Shopee',[],Indonesia,3,0,0
2022-12-22 12:13:06+00:00,b'eh ini shopee klo di uninstall trus di install lgi pas login akunnya gk knp2 kah? tkt bngt ntr mlh gk bsa njir mna errornya lma bngt dritdi sore',b'alaviuna',[],,1,0,0
2022-12-22 12:12:54+00:00,b'@ariessgr Sembunyikan app shopee dan tokpednya bund',b'BaymaxYourbae',[],"West Sumatra, Indonesia",41,0,0
